serb:rus
važan:важный, значительный
v[a]rnica:искра
v[r]pca:верёвка, шнурок, лента
gradnja:стройка, строительство
deset[o]rica:десяток мужчин
deš[a]vati se:случаться, происходить
d[o]gađaj:событие, происшествие, случай
dos[a]dašnji:бывший до сих пор, прежний
zab[o]raviti:забыть
zagl[a]viti:заклинить
z[a]moran:утомительный
z[a]okret:поворот
zap[o]staviti:обойти вниманием
z[a]stava:знамя, флаг
zatvor:тюрьма, арест
z[a]štita:защита, оборона
zvanik:гость, приглашённый
[i]zuzetno:исключительно, за исключением
zgarište:пепелище, пожарище
[i]straga:расследование, исследование
kobni:фатальный
[i]zložba:выставка
k[a]ucija:залог
izaz[i]vati:вызывать, отзывать
izl[o]žiti:изложить, выложить
iz[o]staviti:выпустить, пропустить
ispred:перед
kvar:порча, ущерб
kr[e]tanje:движение
klupko:клубок, моток
kr[i]vičan:уголовный
lans[i]rati:пускать в ход
kuvar:повар
k[u]vati:готовить
l[a]mpica:лампочка, сигнал
meh[a]na:трактир, корчма
m[e]štanin:местный житель
m[o]dreti:синеть
muk:молчание, безмолвие
m[u]čilište:застенок, место пыток
nada:надежда
nadležan:надлежащий, соответствующий
nad[o]knadа:возмещение, компенсация
n[a]jdublji:самый глубокий
dubok:глубокий
pr[a]titi:следовать
nal[o]žiti:приказать, поручить
n[a]redba:приказание, распоряжение
n[a]silnik:насильник, угнетатель, тиран
način:способ, метод, образ действия
n[e]poštovanje:неуважение
n[e]suđen:несуженый, не предназначенный судьбой
n[u]diti:предлагать, угощать
obrazl[o]žiti:обосновать, мотивировать
[o]bračun:расчёт, расправа
[o]dbrana:защита, оборона
odl[a]gati:откладывать
[o]dlazak:отъезд, уход
[o]dluka:решение, резолюция
odm[o]tati:отмотать, размотать, развернуть
određ[i]vati:определять, устанавливать
okol[i]na:окрестность, округа
[o]pomena:напоминание, предупреждение
[o]psadni:осадный
osm[i]nа:восьмая часть, восьмушка
[o]stali:оставшийся, остальной
ostvar[e]nje:осуществление
otp[e]čatiti:распечатать, снять печать
otp[i]sati:списать, снять со счёта
[o]štetiti:повредить, испортить
=========================================
pipak:щупальце
pog[u]rati:подтолкнуть
p[o]dignuti:поднять, возвысить
podl[e]teti:подлететь
p[o]dneti:подать(=submit)
poj[e]dini:некоторый, отдельно взятый
pojed[i]nac:отдельный человек, одиночка
p[o]klon:подарок
p[o]ništiti:уничтожить, аннулировать
p[o]rota:суд присяжных
p[o]rotnik:присяжный заседатель
p[o]stajati:становиться, возникать
post[o]jati:существовать
p[o]stupak:процедура
potres:потрясение
pr[e]vara:обман
prenos:передача, перенос
pr[e]okret:переворот
prep[o]znati:узнать(что-то, что уже знаешь, например, старого знакомого)
presk[o]čiti:перепрыгнуть, перескочить(и в прямом, и в переносном смысле)
presp[a]vati:переспать, проспать
pr[e]suda:приговор, решение суда
pretnja:угроза
pre[u]zeti:предпринять, взять на себя
pr[i]govor:упрёк, возражение
pr[i]java:заявление, донос, прописка
pr[i]kupiti:собрать в одном месте
pr[i]stalica:приверженец, последователь
pr[i]hvatiti:принять(напр., резолюцию)
progl[a]siti:объявить, провозгласить
pr[o]dreti:пробиться, проникнуть, прорваться
proz[i]vati:называть, давать имя или прозвище
propust:пропуск, упущение
proći:пройти, проехать; сойти с рук
pustoš:пустынное место
r[a]zbiti:разбить, разломать
razl[u]čiti:разлучить, разъединить
raspoređ[i]vati:распределять, располагать
rok:срок
r[o]čište:место деловой встречи; судебный процесс
s[a]držaj:содержание, оглавление
svedok:свидетель
s[e]dmica:неделя
s[e]dnica:заседание
sel[e]kcija:сборная
s[e]ćati se:вспоминать, припоминать
sir[o]mašan:бедный, неимущий
skok:прыжок, скачок; скат, падение воды
skrać[e]nje:сокращение, укорочение
skvrn[a]viti:пачкать, осквернять
sl[a]viti:праздновать, славить
sm[a]njiti:уменьшить
spolnji:половой
sp[o]ticati se:спотыкаться
sprov[o]diti:проводить, сопровождать
stablo:ствол; происхождение, род
stav:позиция, положение; раздел документа
stalno:постоянно, неизменно
st[a]mbeni:квартирный, жилищный
stanje:состояние, положение, уровень
st[a]ranje:забота, попечение; усердие
st[o]tina:сотня
strava:страх, ужас, жуть
stranka:полт. партия
str[u]čnjak:специалист, знаток
sudar:столкновение
suzb[i]jati:отбивать, отражать, ограничивать
sukob:столкновение
s[u]mnjati:сомневаться, недоверчиво относиться
s[u]novrat:тартарары
==========================================================
talas:волна
tvorac:творец, создатель
tv[r]diti:утверждать, твердить
tkalja:ткачиха
tr[a]žiti:искать, требовать, просить
tr[a]jati:длиться, продолжаться
tr[e]nutan:мгновенный, моментальный
tuđ:чужой, посторонний, чуждый
tužba:жалоба, иск
tući:бить, колотить
ć[a]skati:болтать, общаться
ub[r]zati:ускорить, поторопить
uver[e]nje:убеждение(действие)
uv[e]ćati:увеличить
